:Rank 1
Roni Rosenfeld
Manuel Rosso-Llopart
Steven Rudich
Alexander Rudnicky
Matthew Ruffalo
Nikol Rummel
Olga Russakovsky
Norman Sadeh-Koniecpol
Kotaro Sakamoto
Majd Sakr
Raja Sambasivan
Tuomas Sandholm
Thierry Sans
James Sargent
Mahadev Satyanarayanan
Florian Schaub
Sebastian Scherer
William Scherlis
Bradley Schmerl
Jeff Schneider
Tanja Schultz
Russell Schwartz
Andrew Schwartz
Dana Scott
Vyas Sekar
Srinivasan Seshan
Rajeeva Shah
Michael Shamos
Mingfu Shao
Mary Shaw
Yaser Sheikh
Kenji Shimada
Douglas Sicker
Mel Siegel
Daniel Siewiorek
Leonid Sigal
Jose Luis Cardoso Silva
Reid Simmons
Robert Simmons
Peter Simon
Sanjiv Singh
Rita Singh
Aarti Singh
Metin Sitti
Kiron Skinner
Daniel Sleator
Noah Smith
Stephen Smith
Alexander Smola
Koushil Sreenath
Siddhartha Srinivasa
John Stamper
Ravi Starzl
Peter Steenkiste
Mark Stehlik
Aaron Steinfeld
Anthony Stentz
George Stetten
Jiande Sun
Lingyun Sun
Joshua Sunshine
Subra Suresh
Klaus Sutner
Katia Sycara
Sujata Telang
Philip Thomas
Charles Thorpe
Dechao Tian
Anthony Tomasic
David Touretzky
Erik Trainer
Raul Valdes-Perez
Carlos Vallespi-Gonzalez
Jean-Sebastien Valois
Helmut Veith
Prasanna Velagapudi
Manuela M. Veloso
Stephan Vogel
Luis Von Ahn
Du Vu
Howard Wactlar
Alexander Waibel
Peter Wardrip
Larry Wasserman
Lee Weiss
Florian Wenninger
David Wettergreen
William Red Whittaker
John Wilkes
Andrew Wilson
Mary Wootters
Monika Woszczyna
Hyrum Wright
Wei Wu
Eric Xing
Jean Yang
Yiming Yang
Ge Yang
Bishan Yang
Weiren Yu
Yaoliang Yu
Hui Zhang
Zhicheng Zhao
Sha Zhao
Yu Zhong
Yi Zhou
Jun Zhu
Yair Zick
John Zimmerman
Ales Zivkovic
Andrey Zykov

:Rank 2
:MIT
Scott Aaronson
Hal Abelson
Elfar Adalsteinsson
Anant Agarwal
Akintunde Akinwande
Mohammad Alizadeh
Saman Amarasinghe
Dimitri Antoniadis
Arvind
Arthur Baggeroer
Hari Balakrishnan
Marc A. Baldo
Regina Barzilay
Bonnie A. Berger
Karl Berggren
Tim Berners-Lee
Dimitri Bertsekas
Robert Berwick
Sangeeta Bhatia
Duane Boning
Louis Braida
Guy Bresler
Tamara Broderick
Rodney Brooks
Vladimir Bulovic
Michael Carbin
Vincent Chan
Anantha Chandrakasan
Adam Chlipala
Isaac Chuang
David Clark
Fernando Corbató
Munther Dahleh
Luca Daniel
Konstantinos Daskalakis
Randall Davis
Jesús del Alamo
Erik Demaine
Jack Dennis
Srini Devadas
Mildred Dresselhaus
Fredo Durand
Joel Emer
Tony Eng
Dirk R. Englund
Robert Fano
Clifton Fonstad
David Forney
Dennis Freeman
William Freeman
James Fujimoto
Robert Gallager
David Gifford 
Polina Golland
Martha Gray
Paul Gray
W. Eric L. Grimson
Alan Grodzinsky
John Guttag
Peter Hagelstein
Ruonan Han
Jongyoon Han
Thomas Heldt
Frederick Hennie III
Berthold Horn
Judy Hoyt
Qing Hu
Piotr Indyk
Erich Ippen
Tommi Jaakkola
Daniel Jackson
Patrick Jaillet
Stefanie Jegelka
M. Frans Kaashoek
Leslie Kaelbling
Franz Kaertner
David Karger
John Kassakian
Dina Katabi
Manolis Kellis
James Kirtley, Jr.
Leslie Kolodziejski
Jing Kong
Butler Lampson
Jeffrey Lang
Hae-Seung Lee
Steven Leeb
Charles Leiserson
Jae Lim
Barbara Liskov
Luqiao Liu
Andrew Lo
Tomás Lozano-Pérez
Timothy Lu
Nancy Lynch
Samuel Madden
Aleksander Madry
Thomas Magnanti
Roger Mark
Wojciech Matusik
Muriel Médard
Alexandre Megretski
Albert Meyer
Silvio Micali
Rob Miller
Sanjoy Mitter
Robert Morris
Joel Moses
Dana Moshkovitz
Alan Oppenheim
Terry Orlando
Asuman Ozdaglar
Tomás Palacios
Pablo Parrilo
William Peake
Li-Shiuan Peh
Paul Penfield, Jr.
David Perreault
Yury Polyanskiy
Rajeev Ram
L. Rafael Reif
Martin Rinard
Ronald Rivest
Ronitt Rubinfeld
Daniela Rus
Daniel Sanchez
Joel Schindall
Martin A. Schmidt
Devavrat Shah
Jeffrey Shapiro
Nir Shavit
Henry Smith
Charles Sodini
Armando Solar-Lezama
Michael Stonebraker
Collin Stultz
Gerald Sussman
Vivienne Sze
Peter Szolovits
Russell Tedrake
Christopher Terman
Bruce Tidor
Antonio Torralba
John Tsitsiklis
Caroline Uhler
Vinod Vaikuntanathan
George Verghese
Joel Voldman
Stephen Ward
Cardinal Warde
Michael Watts
Ron Weiss
Thomas F. Weiss
Jacob White
Alan Willsky
Gerald Wilson
Patrick Winston
Gregory Wornell
Mehmet Fatih Yanik
Matei Zaharia
Markus Zahn
Nickolai Zeldovich
Lizhong Zheng
Victor Zue

:Rank 3
:Stanford University
Maneesh Agrawala
Alex Aiken
Dan Boneh
Moses Charikar
David Cheriton
Dawson Engler
Stefano Ermon
Ron Fedkiw
Patrick Hanrahan
Mark Horowitz
Doug James
Dan Jurafsky
Sachin Katti
Oussama Khatib
Christos Kozyrakis
Monica Lam
Philip Levis
Percy Liang
Chris Manning
David Mazieres
Click here
Nick McKeown
Subhasish Mitra
Kunle Olukotun
John Ousterhout
Balaji Prabhakar
Mendel Rosenblum
Tim Roughgarden
Kenneth Salisbury
Greg Valiant
Jennifer Widom
Ryan Williams
Virginia Williams
Keith Winstein
Patrick Young
Don Knuth
Jean-Claude Latombe
Marc Levoy
Teresa Meng
Nils Nilsson
Serge Plotkin
Yoav Shoham
Jeff Ullman
Stephen Boyd
Martin Fischer
Sean Follmer
Ashish Goel
Noah Goodman
Lester Mackey
Ge Wang
Pei Cao
Martin Casado
Vladlen Koltun
Bill MacCartney
Clark Barrett
Axel Hochstein
Norbert Pohlmann
Alex Russo
Jidong Zhai

:Rank 4
:University of California-​Berkeley
Pieter Abbeel
Maneesh Agrawala
Dave Allstot
Krste Asanovic
Jonathan Bachrach
Ruzena Bajcsy
Brian Barsky
Peter Bartlett
Rastislav Bodik
Eric Brewer
John Canny
Cathryn Carson
Alessandro Chiesa
Mike Clancy
David Culler
James Demmel
Anca Dragan
Alyosha (Alexei) Efros
Jerome Feldman
Michael Franklin
Dan Garcia
Sanjam Garg
Kenneth Goldberg
Joey Gonzalez
Bjoern Hartmann
Brian Harvey
Paul Hilfinger
Michael Jordan
Anthony Joseph
William Kahan
Richard Karp
Randy Katz
Dan Klein
John Kubiatowicz
Jitendra Malik
